ReviewerName,Description
Pranshul,"If you have a laptop then its a must buy especially in this work from home period. Its been 6 months since i have been at home and working all this time with just my laptop with the help of touchpad only which started turning out, very irritating at times. Mouse has a different touch and feel so, i am glad i bought it.About the mouse, its light, its smooth, its fast ( even managing with my slow laptop very well) its clicky and the wheel is smooth same as the glide, also the optical senson is already very good and works on all surfaces (atleast for me) with high precision so dont rush for kouse with higher dpi etc. Its every thing a mouse should be except the fact that its not thatt stylish as it looks in the pictures but its cool enough at this price.I strongly feel, it should cost around 550 not more than that but its 650 (as of now)."
Harsh Prabhu,Good product if u can get it for 599 or less. It is durable for the cost I paid (Rs. 599) it is too small to hold for medium straight hands and too narrow to hold for wide but small hands. The clicks make noise and not suitable for quite environment. It is good mouse if u need a wireless mouse and if you are clumsy and don’t want to spend too much on a mouse. If you are ready to spend more (apx. Rs.1300 total) try Logitech M331. It is a great mouse perfect fit and zero moise
Amazon Customer,"After completion of a year, the scroll has stopped working. I just love it. Compact size, easy to handle. Love the design. Small and easy to handle, comfortable.Thanks to amazon, I got this product at 550/- in a deal. Using it since 3+ months. Love to use this mouse instead of my lappy's. And thanks to the Amazon prime to deliver me this product within 2 days. Amazon never disappointing me on it's services. Faster services than all other online shopping sites, Customer oriented company, products at best value.I love amazon and the product."
Sujin S Mathew,"This mouse is the most comfortable one yet. I have used so many other devices, but none were so comfortable compared to this. Logitech just makes great quality mouse.Great for comfort, easy connect to device, works best. So far no complaints.I wouldn't say the same for the packaging, seems a bit roughly handled. But overall no damage to the product and that is what matters.If you are gaming on this mouse. Then go for it. It has no fancy RGB but who is asking. Just a great mouse!!!!"
atin,"I have used mostly Logitech mouses in my 7 years of carrier as a Design Engineer. But this product was not as per expectation. Within 3 months of purchase, it's left button started having issues. I got it replaced, though, from service center. Now again after use 6-7 months middle wheel is not working at all. Will need to get replaced again from service center, as its warranty period is not over.But I don't expect such products from Logitech or maybe, it's not designed for 3D modelers or designers who use it for 3D softwares."
K. HILL,"I have been buying similar Logitech mice for decades. They generally last through many years of daily use. This one was chosen for several features: One battery not two; compact and lightweight for travel; and interior pocket to hold the bluetooth sender when not in use; comfortable and natural fit in my hand.  From time to time the lens must be cleaned, and it helps to blow off dust and cat hair now and then. Otherwise, totally trouble-free. Good responsiveness and speed. I am not a gamer so I can't evaluate that, but for desktop publishing on an iMac it works fine."
virtual,"Mouse is comfortable, light, medium sized and smooth to run. Scroll is OK and nice grip groooves around mouse. But packing and few scratch bottom contact surface of mouse hints at used it returned item. Also box says logitech 2018 and big sticker on back side of box says imported in 2020, which seems a big lie as logitech do not make it anymore. I would had return this but I really need a mouse now. Appario retail is lier and in recent times I've returned it item two times. Now I don't have trust in amazon anymore."
Vince,"Pros:1. Ergonomic design (Compact and Comfortable)2. Nice grip3. Nice material used4. Self Contained DesignCons:1. Doesn't have Unifying Receiver (Due to lack of this kind of review I bought it accidentally, sellers are also lying in questions asked about it, so if you want unifying receiver please don't purchase it)2. It has only 1 year warranty because there are other mouses with 3 year warranty also."
Bharatraj,"Mouse is working as per expectations. The only weird thing is that sometimes it behaves in its own way. Without moving the mouse it selects many items, cursor moves in its own way. So it is useless if you pay for brand like LOGITECH.Don't buy online if possible. Also as per many reviews, serial no on the box and product do not match."
Jay,"Working as expected minimum. Its standard wireless mouse.PROSPlug and play with no manual configuration needed at all.Good part is its get detected within 3sec of starting/switching on button.CONSMay not be concern, but when it says three button mouse, I was expecting that scroll button/roll can be used apart from scrolling.I had Microsoft wired 3 button mouse (same as this) and its Scroll button (apart from standard scrolling function), if kept pressed, I could scroll files all 4 directions, simply moving my mouse. Whereas this doesn't work that way. I've to hold the bar of file and scroll/pull manually to see large file contents."
Arun Sharma,"Hello Everyone.I am usually lazy when it comes to writing reviews on Amazon about specific products. But I had to write reviews about this crap mouse so that other buyers don't feel cheated after buying it. No doubt, that this product is lucrative due to being so cheap for a wireless mouse from a renowned company like Logitech, but it does not even worth the 450 bucks I paid for it.The left and right buttons are fine to press. But the middle button, if you want to press it, you will need to apply the force of an alligator's jaw.I returned the first mouse thinking that it might be defective. However, the return I got had the same problem which made me sure that all items in this series have defective ""middle buttons"".Another con I found that it is so small. Good for kids, but if you are an adult, you will feel like that it doesn't fit in your palm. And after some time, your palm will start to ache.This is an honest review fella. Please save your precious bucks and don't buy this product."
Deepak Nanjundaiah,"A sub 500 mice from someone like Logitech is always a welcome and interesting. Feels good in hand, the buttons are tactile with minimal click noise. Scroll wheel is a lot more quieter on the other hand which is impressive. These are just first impressions, will keep this updated/posted should I find something worthy to highlight here.Verdict: Overall a nice product and recommend it considering it's price point."
Akhilesh H,"Purchased in 2018. Definitely not for gamers. Buy a wired one for gaming. It's too sensitive that my spray control got worse in CS GO ( also slight lag ). It looks good, has a good battery out of the box. It's sensitive for basic uses ( if you use a mousepad ). It's not easy for small hands. The design of edges in the back is kinda uncomfortable on long usage.If you want to game, Get 800 DPI mouse. Also I kinda dropped it lately. The middle mouse is kinda bad now.The software from logitech is minimal, you can't see the battery stats or assign another USB module, You need a unifying module for that."
Prime Member,"The product is durable and effective in using with the laptops...Moves with ease and USB responder is quite effective...The mouse do not have a light underneath and comes along with a AA battery, with 1 yr manufacturer warranty. Also carry on/off option for saving energy..Overall it's good purchase and fits really well for small hands... Bigger palms need lil extra size to get proper hold."
Anoop,"This was a frantic purchase to be honest here. The times are not that good to buy/test any random product online. The only reason for me to go ahead with this product blindly was my faith in Logitech as a brand and the price point of course. Have been using a lot of Logitech products since my college days and they are really reliable.Anyway, based on aforementioned trust, I bought it for my work from home setup. And yet again Logitech didn't break that trust. It's a good/decent mouse ergonomically (especially if you're using it for office work) and daily normal usage. Your hand wouldn't feel fatigued or cramped up, even after using it for hours. I wouldn't recommend it for gaming purposes for obvious reasons.P. S - My suggestion always for devicss that run on batteries are, please use Duracell, if you really want to use these devices to their full potential."
Ether,The Scroll is terrible... every time i scroll down it scrolls up to some distance and then down... bad design.... I didn't expect this from logitech of all the brands... mouse and keyboards are their primary products... consider some other brand like microsoft... this one is terrible
Rohith,"Using this with my office laptopvery compact and perfect designUsing since a week and palm doesnt hurtCant comment on battery, yet on the same batteryjust plug and play, no configuration requiredpairs instantly when mouse is turned ON, no lag or delayGood sensor and it has a perfect traction."
P. Banerjee,"Basically this mouse is not that much good for gaming. Although it's so good to use for any official work or any other work in your laptop. It's bluetooth connection is really amazing. You don't need to reconnect it every time after turn on the laptop. However, I'm happy with it. Thank you Amazon to deliver this in right time. Well, if my recommendation is the concern so far then I must say, people who're looking for a light weight, hassle free & wireless mouse, can go for it without having any second thought."
Emil Abraham,The first battery which came with the mouse only lasted a month later I purchased a normal double a batterie and it runs for couple of months now. Average product. Maximum distance with good Bluetooth connectivity is 5 feet after that  upto 10 feet we get connectivity but with very little accuracy. Value for money product. Hope this helps. All the best.
swapnil,"Logitech B-170 is a great addition to your workstation.Its small built makes it ideal for portability and design is good enough for everyday use.I have been using it for almost a month now and no complaints.Works on almost all surfaces, though i would highly recommend using a dedicated mousepad for long lasting smoothness.Clicks and scroll wheel is satisfying enough. Although the scroll can get tedious sometimes.Ideal foe everyday use but if you are looking for something dedicated for gaming then a high end model would be better.It works fine for games but lacks the precision and addedd controls.Overall a value addition to the work from home arsenal"
Anil Bijlani,I had earlier purchased m235 which I am using since last four years. For my second laptop this time I purchased B 170 instead since it was Rs150 cheaper. I do not find any difference in performance. This one doesn't have led indicator beyond that everything is same. Incidentally its imported from Hongkong but is of Chinese make.
Yash,"This just feels like any other wireless mouse in that price range.The ergonomics are better than most of the other wireless mice under 1K.....So a good deal but it is back-heavy just as any other logi wireless mouse....That's not a big issue though.The only issue is, there is no LED to notify that the mouse is switched on....Decent deal for normal PC work though......"
Sanjiv,"Buying same model 3rd time in 18 months for 3 different machines at home for self n family.Simple, Long lasting and reliable mouse.Not a fancy one..works consistency, no lag,no red/infra lights,works directly on transparent glass table without mouse pad.Not for gamingNo DPI adjustmentBattery life descent"
Amazon Customer,"There are click noises but the scroll button is completely noiseless. I found a few scratches on the bottom but since there were no technical issues I did not return n it. It's been a month since i bought it & it's working fine. Easy to use & comfortable for an average size hand.Great for daily use. Pointer speed is fast.Note: The left and right clicks are interchanged, download the software 'LogiOptions' for setting the clicks to normal. You're welcome."
Jithin Kuruvilla,The mouse is good and easy to use .... But i think i got a refurbished item as there was no seal in the battery and the mouse was ON inside the box along with the battery..... So i don't trust Amazon anymore..... This thing has been repeating to many times now.... Flipkart is better in trust..... Selling used/returned as new products or fraud......
Harsh  s navale,I felt like I was holding a toy but that's kinda ok.The sensor is far from my expectations.Its sometimes Unresponsive in gaming. (Clicks don't work. I play Rockrt league and sometimes the double click doest work and I fail to flip.)(Don't ever buy this if u want to play competitive games)Scroll wheel makes noise like a 200 year old rusty machine.
Akshay Kaushik,"1-Bl 70 wireless mouse, good range.2-Supports,Windows, Mac OS, Chrome OS3-Affordable and Reliable4-And installation is just nothing, you have to take out USB receiver from the mouse and just plug it in your PC/laptop, count 1 second and it'll connect.5-12 months warranty and battery life is also good it's somewhere around 11-12 months so be assured.6-I am using it since 6 months and i haven't faced any issue so far.7-This product stands unique in the market in it's segment at such a cheap price, just love it, logitech is really a reliable brand."
Ravi,The ergonomics of mouse is good but the build quality and material is very bad. Scroll in mouse went bad in 7 months and now I am facing lags and connectivity drop many times. Would not suggest anyone to get this. Had Dell mouse earlier which lasted for 3 years until it got stolen.
Suman Paul,I am using this mouse with Windows 10 operating system. Also my computer is equipped with antivirus. I am facing difficulty to work with this mouse. It is not operating properly and mouse pointer getting stuck in the screen. I am forced to move the mouse in some other place to make it work again properly. It is not capable to operate properly on top of a burnished table. I feel I have wasted my money to purchase this mouse
Chat,"Can be used for regular work, but possibly not for gaming. The tracking ""light"" (for want of a better word) below the mouse is invisible. So, for those of you used to seeing a red light when the mouse is on, be aware. The mouse is lightweight, and I was pleasantly surprised to see that it came preloaded with a battery."
Dr. Akash K. Rose,"Wireless convenience in a very lightweight and ergonomic design. The single battery makes a significant difference in weight as compared to 2-battery types.  For those who work all day on their computers, this mouse is a great blessing. The on/off switch and the invisible infrared beam help to conserve power well. Further, the optical tracking is excellent and good enough for all critical work."
Darpan,It's good at this price but doesn't feel so comfortable in holding while working for a long time.
Jacob George,"I bought this after the left click stopped working for the Logitech M185 bluetooth mouse, that I have been using for more than last 3 years or so. What I like about this mouse (B170) is that the on-off switch is easy to operate for this one compared to the prior one. But compared to M185, B170 looks a bit more wider and also grippy on the sides, which are changes I am trying to get adjusted to."
Amazon Customer,"I got this product in on Jan 2019, within 15 days it stopped working even though all the package was done properly and removed battery protection when first arrived, though my sixth sense said once to change the battery, and i did magically it worked, now all of sudden it is gone. i use regularly daily for more then 12 hours, but it is gone now.. with USB in laptop windows say it is not working fine.After all this when we try to contact Amazon will direct you to logitech non of the customer service number is working i stay in bangalore Amazon people gave me this 080-22667266 which is not at all working.. searched in google non of the number is working.. some how feels bit strange to buy  electronics goods in the shops rather then in online.."
Vaibhav,"I bought the mouse having pretty high expectations, because the reviews are so high and all, But the scroll wheel on the mouse stops working after 3-4 weeks, and now the page goes up if i scroll down, and the other way round.the bluetooth was fine until now, but recently even the pointer isnt working properly, The mouse is definitely not for gaming, and with my experience, it's not for normal purposes too.Huge let down. Buy at your own risk."
Gaurav,I rated this product 5 stars in the beginning but now I am changing it to 2 stars because the product developed hardware issues after 3 months of very light use.The scroll wheel isn't working properly now. Click button has developed issues sometimes it clicks/double clicks and sometimes it starts drag n drop itself.
Professional_Reviewer,"Its small size makes it easier to carry like putting it in a backpack or just in your pouch. It has got a nice battery backup. The advertised battery backup is 12 months but i can say the it will surely last for 10 months. The laser used is transparent probably that's what makes the battery last longer. .The dongle fits in the slot provided and there is instruction manual provided for accessing the slot. Handling it,  does feel good and it does not feel cheap mouse in any way. Logitech does not go wrong with its products. All that it lacks is a DPI switch , but is it what you need in a small mouse and after-all its not a gaming mouse."
Joe Thomas,"Its slightly on the smaller side. Its easy to carry.But might find difficult to use for some. I got used to this , so i am really comfortable with it.The first product i recieved got defective after a few months. The warrenty is not covered by Amazon, its provided by Logitech.The greatest issue is to find a Logitech authorised service centre ( Which is a headache itself. They have really few service centres in South India). When i finally found one(travelled a lot), they said they will replace the whole thing. So , i had to wait for a replacement, which took nearly 1 week to arrive. I again had to travel all the way to their service centre to get it.The new product works just super fine. It's been almost 1& half years i had been using this."
Amazon Customer,"Was in desperate need of a new wireless mouse after my previous one stopped working. This was available at a reasonable price and Logitech has a track record of producing really good mice.Pros:1. Small and lightweight, if you're someone with large hands, this may be subjective.2. The sensor doesn't shine a light, hence, it works well at night when I don't want to disturb people around me3. Tracking, this does it very well. Clicks aren't loud, but still audible.Cons:1.  The scroll wheel feels less durable and cheap.2. Accidental clicks may occur, avoiding it takes some getting used to.3. This isn't exactly a con, but no custom DPI settings. It's definitely not a gaming mouse, so that can excuse the lack of those. A wired gaming mouse will suit you better in those cases.TLDR: A well-rounded cheap and reliable mouse. It's definitely a good purchase if you're looking for a new mouse and you're an average user"
Bratin Paul,1) It's upper surface is  not curved much so when using long times it  will discomfort you.2) given  a) mouse & bluetooth otg for connection with pc  b) one battery  c) manual  d) warranty information3) again if someone plays game  for short time 1-1.5hrs it will  not make any problem if using for nonstop 4-5hrs maybe  you can feel discomfort .4) but as it's a Logitech brand and it's renowned company so easily anyone can buy it without hesitation and I hope the product will long last .
hemant t.,"It is a very good reasonable mouse, very ergonomic product. I think it is little bit small for my hand. It is very advanced mouse has it as invisible optical sensor and work quite well from 20foots. Very light weight and good design, making it easy to hold. Custom DPI button in-mouse isn’t there, but still good for gaming. The buttons are responsive at all times (999/1000)[deducted 1 point for any possible chances]. As sensitive sensor as possible of an wired mouse."
TD,One of the best there is...easy to hold and clicks are good the best part is it's very light and comfortable.Connection is easy for Mac and windows and increases the productivity bya lot precision is top notch even the build quality seems superb.No issues with battery life and is decent for gaming at this price .....I got it for 645₹..Nice deal
gss.vishnu,"During the critical pandemic situation ordered the mouse with Speedy delivery charge of 50/-Delivery was on time, packaging was good.Initially it was working perfect , but after 2-3 months mouse scrolling is not as expected.If we use scroll button to go down, it goes up or something like that.Better to go for Logitech Wired mouse only, if you are comfortable to use WIRED mouse"
AkiMosi,"The mouse is really so small, so if you are one with big palms you may have to keep your index and middle finger bent for a while, or until you get used to it. Moving the mouse is so smooth - Thanks to the AmazonBasic Extended Mouse Pad too for that.The design is so minimalistic and the pattern at the holding provides some extra grip. When the mouse is moved horizontally quickly, we can feel the battery moving inside. The nice part of the mouse is, there is no red LED light flashing at the bottom to detect the motion, that is really cool thing.  There is an in-built space to hold the USB receiver so that we won't miss it. Finally, it is a good mouse at this price point. And the on-off button will really help us to save some battery(comes with the product)The packaging was not great so - it is an issue with the seller, not the product. I would recommend this."
Peshal,"It worked well for first 4 months and now it's not working, the scroll wheel goes two places up and one down, and does the same when I try to scroll down. So, it looks like I am going up-up-down when I try to go up. It's irritating as hell. Logitech support isn't responding to my emails or chat attempts. So, that means I can't claim the warrant as well.In other words only go for this mouse if you can't find any other better suitors which I highly doubt will be the case.Thanks"
Ganesh S.,"I'll say what I dislike about this product first- It's not good for the long term, I repeat, IT IS NOT GOOD FOR LONGTERM AT ALL!!!- Its usage life is around 3 to 6 months at max, even if you change its battery or plug the USB receiver in different USB ports it just says ""USB device not recognisable"" after 3 to 6 months (depending on how much you used)Now I'll say what I like about this product-For the price given to it. It works well. I have used for both my office work and my gaming pastime-It's just plug and play. Nothing out of the ordinary. Just plug the USB receiver and wait for it to read, after that you are good to goIt would be nice if this lasted longer really, but for its given price. I guess this is all one can get to its maximum capability."
ASWIN.P,The optical device stopped working and the cursor not moving after a use of two weeks. So decided to repair and tried unscrewing. It is easier to unscrew an a380 than this. There r no screws but plastic locks and almost impossible to figure that out. We have to search for videos of a crash course of unscrewing this. But finally we will end up in damaging the device. Yes its damaged. Never going to consider again
Alok Sharma,The product is good and working as expected. Will post a review again after few months of use if i do not forget. Overall product looks new but on the bottom it seems as if has been tried once or twice since the three protrudes on which the mouse sits has some not exactly scratches but sort of the same. But this is with both the mouses previous one and its replacement. Actually i ordered for replacement by mistake as i thought the mouse is not working. Its invisible light and i got wrong impression.
Aravindhan,"Good and cheap(price) one from Logitech.Build is sturdy, dropped several times no issues.Battery life claimed to last 1year have to check. But invisible light technology (fancy name for Infra red) hope it'll last longer than conventional led.Design is suttle and beautiful, good handling, no DPI switch. Ambidextrous."
VASANTH,I started using this only a couple of weeks ago. So far ith is good. I prefer to review after 2 months use. Presently I am working continuously 8 hours a day. So far no problem. Previously i was working with Microsoft mouse which was no good consuming battery heavily and stopped working after using a few months. So I have to review this thing after a couple of months only
Hareesh Chandran,"The mouse stopped working after 15 months. Not sure due to my usage, but the old one I had, is still working. The USB wireless adapter is now having a loose connection and I tried in different laptops without luck. The battery consumption was really low and that was what I liked with this product. However, it became useless after 15 months of daily usage."
Divyang Oza,Bought this Mouse on 4th Feb 2017 for Rs 615.While nowadays price are comparatively less.I am using this wireless mouse on daily basis for over 6 months now. Battery life is solid. The box comes with a AA Alkaline battery of nice quality.From my usage the mouse operative range is around 5-10 foot in open room. It is a laser optic which is 1000 dpi capable mouse.The clicks are good and the mouse feels quite good.
Deepta Baidwan,"I cannot believe this is Logitech. It stopped working after a month. Tried changing batteries but no chnage. Its very light, almost too light that you zoom across the screen, takes a bit of time to get used to it. Not happy at all."
Prasad Kulkarni,"The mouse was initially great and performed as expected. But after a few months, it's middle button clicking ability decreased and after a few more months, the 'click' functionality is not working. The battery-life is actually really good. Connectivity is great too! But, it is a bit small to hold and is a bid rigid and NOT smooth which is not acceptable for Gaming or Professional use. So I recommend this mouse to anyone who just does daily tasks like Surfing the Internet, watching videos, some casual gaming and for Spreadsheet/ word document Office use."
K A,"review after 2 month use , very good wireless mouse at this price,  before i buying i worry about range but after using my tension was gone its deliver perfect range , it works perfectly from 5ft away with wall but i face sometimes time lag but ok its happen very few times when i use from near to recivrr it works superb , overall very nice product at this price"
DINESH REDDY SALLA,"Bought this Wireless mouse on 10th November 2016 and its been 23 Months (1 Year 11 M) since I've been using it. Let's get into the details of the Mouse:PROS:1. Economical - Best brand at a budget price.2. Reliable - Never slows down even in the heavy tasks.3. Plug & Play - Gets seamlessly to work with multiple devices on-the-go just by switching the receiver.4. Ergonomics - this mouse was designed ergonomically to work with both the user types (Left handed and Right handed)5. Amazing battery life - I've been using the stock AA battery supplied by the manufacturer past 2 years.6. Durable - the mouse survived multiple drop downs at desk heights and it still works nice.7. Invisible Optic - this feature is cool, you cannot find any red laser beam underneath the mouse and no distractions in the low light conditions.CONS:1. Bluetooth connectivity is missing on this mouse - where the user is supposed to carry the receiver with the mouse all the time. (even there's a slot for the receiver underneath beside the battery insert.I highly recommend this mouse to all the users who are looking for a budget-friendly and efficient mouse."
adnan shaikh,1. Very nice for office work.2. Groves at side help you to grab mouse more firmly.3. Small and compact and sturdy finished product.4. You may use it for normal gaming not heavy gaming. for short duration5. I bought this budget mouse for Rs. 645/-
Amazon Customer,"Writing after 6 months of usage. Since it's slightly flatter than the other mouses, it will take some time to adjust to the grip. That said, the ergonomice is generally okish, but it's preferred for me. Major issue is that the mouse clicks have to be near the top edge of mouse, else it won't register. The more rounder Logitech mouse is preferred purely due to the click inconvenience."
Prachita Garodia,"Within 2 months the scroll wheel of the mouse failed.When I scroll down the screen moves 3 lines down and then 2 lines up.This has become a nuisance.I don't give a bad feedback about any product, but, I am appalled by the support by Logitech.In these Covid times, they asked me to to travel 25 kms to get a ₹500 mouse repair.I am thinking of throwing this away.Probably not buying Logitech again."
Mihir,Again writing this review and I know amazon will not publish this review again. Product received is a used product with scratches and also the serial no does not match on the box and product.
Shiny Roy,"Very handy product. Logitech products are good for quality & durability. A on/off switch is provided which helps save the battery. AA Alkaline leak proof battery is also provided with the package. No red light, invisible infrared is used for operation.  Small grooves are provided on both sides of mouse for better grip & handling."
Rohan Singh,"It's a perfect size and good looking mouse, the only thing I dislike is the height of it so it's not a very good product for office workers, I can say best for Amateur gamers."
Nishant Sharma,"The product is flawless, but it stopped working after 1 month. I suspect the battery was not fresh. This is a lapse of part checking on behalf of the distributor before dispatching the product. Since the return window has closed, so I have to go to Logitech Distributor to get it replaced.EDIT: After replacing the battery it started working fine, until a week later when the ratchet wheel started giving backlash errors. The scrolling doesn't work smoothly. When I scroll up or down, the cursor goes down or up (respectively) also. I assume mouses are not that stable or robust as they used to be in the 2000s."
Kader Mohideen M,Decent mouse. Don't expect much. The optical light is invisible. Simple and basic performance. Good VFM.I think it should've had a little heft to it as  it is very light. Good for people who want lighter mouses.The scroll wheel is not rubberised and is hard plastic so it does have that pleasant soft clicky feel and is tak tak plasticky. Nothing you wont get used to.
Suneel,It’s Made in China product. They should have mentioned it details.So far product looks ok. It’s invisible optic means no light at the bottom. Let’s see how long battery works.
Amazon Customer,"Pros:Small receiver which can be tucked inside the mousePower ON/OFF buttonCon:Scroll stops working after a few weeks.I ordered this mouse and a few weeks after that, the scroll stopped working. But the mouse was a good fit for my hand. Thinking that it could probably be that I didn't use it probably and so the wheel stopped working. I ordered another and the same happened.If you use the scroll wheel, DO NOT BUY THIS MOUSE."
Shiv R.,Well my friend brought it i liked it then i bough it and this happened for 4 people and i wont lie we all are happy with this mouse. I may have dropped it 3 4 times by now as no wire is there but still no problem and we use it for gaming too works smooth .Dont spend too much on mouse buy this.
Yash Ganjoor,After spending almost 150 bucks a month on my HP wireless mouse that i paid 699 for. I switched to Logitech. I am so glad that i did. The only regret i have is that i didn't switch sooner. The mouse has a very ergonomic design making it very easy to hold. It just uses 1 AA battery which comes with the mouse. I purchased this about a month ago and i haven't changed the battery since. I would 100% recommend anyone to go for this.
prateek,"This mouse is very famous and there are high chances that its fake.after using few days I am getting lag in cursor movement.the scroll button is very loose and click buttons are not so good.its very lightweight and looks like made from poor material.overall quality is poor and 100%, I received a fake mouse."
